SECTION_ID;ROAD;QUALITY_CLASS;TGMA_LIGHT_2024;OSM_MATCH;MATCH_DISTANCE_M;PRIMARY_SEGMENT_UID;OPPOSITE_SEGMENT_UID;PRIMARY_EDGE_IDS;OPPOSITE_EDGE_IDS;MEASUREMENT_OPERATOR;QGIS_REVIEW_STATUS;ROAD_REF_NOTE;EXTERNAL_EXPOSURE;ROLE_PROPOSAL;CORRIDOR_GROUP;INFORMATION_ROLE;SHORT_REASON
920044;A0;A;15345;OK;0.23;148319235:8;832928883:0;803475;1481717;BIDIRECTIONAL_SUM;CLOSED;ANAS=A0 / OSM=A;HIGH;SENSITIVITY;;N/A_NON_PRIMARY;"QGIS confirms correct motorway corridor despite ANAS A0 versus OSM ref A; two physically separate one-way carriageways mapped to directed edges 803475 and 1481717, summed for comparison with bidirectional ANAS TGMA"
920022;RA13;A;23143;OK;2.30;203141242:23;104915080:18;1013279;524227;BIDIRECTIONAL_SUM;CLOSED;;HIGH;SENSITIVITY;;N/A_NON_PRIMARY;"QGIS confirms correct RA13 section with two physically separate one-way carriageways; directed edges 1013279 and 524227 represent the two carriageways and are summed for comparison with bidirectional ANAS TGMA"
920028;SS13;A;6088;OK;1.63;23261016:11;;11842|11843;;BIDIRECTIONAL_SUM;CLOSED;;HIGH;SENSITIVITY;;N/A_NON_PRIMARY;"QGIS confirms one physical bidirectional carriageway; two opposite directed edges on the same physical segment"
920034;SS202;A;27512;OK;10.20;787078230:14;26283853:0;1464765;42022;BIDIRECTIONAL_SUM;CLOSED;;LOW;PRIMARY;SS202_TRIESTE_URBAN;DISTINCT;"QGIS confirms correct SS202 Nuova Sopraelevata section with two physically separate one-way carriageways; directed edges 1464765 and 42022 are summed for comparison with bidirectional ANAS TGMA"
920035;SS202;A;15618;OK;18.13;26259796:11;350457892:2;41526;1303401;BIDIRECTIONAL_SUM;CLOSED;;UNCERTAIN;SENSITIVITY;;N/A_NON_PRIMARY;"QGIS confirms correct SS202 Nuova Sopraelevata section with two physically separate one-way carriageways; directed edges 41526 and 1303401 are summed for comparison with bidirectional ANAS TGMA"
920037;SS54;A;1224;OK;2.42;110560535:44;;547133|547134;;BIDIRECTIONAL_SUM;CLOSED;;HIGH;SENSITIVITY;;N/A_NON_PRIMARY;"QGIS confirms correct SS54 segment represented as one physical bidirectional carriageway; two opposite directed edges 547133 and 547134 are associated with the same physical segment"
920032;SS54;A;6964;OK;2.01;1324387447:1;;1645018|1645019;;BIDIRECTIONAL_SUM;CLOSED;;LOW;PRIMARY;SS54_CIVIDALE_INTERNAL;DISTINCT;"QGIS confirms correct SS54 Via Valli del Natisone segment represented as one physical bidirectional carriageway; two opposite directed edges 1645018 and 1645019 are associated with the same physical segment"
920024;RA13;B;21028;OK;14.79;42941151:4;191942226:1;237523;979577;BIDIRECTIONAL_SUM;CLOSED;;HIGH;SENSITIVITY;;N/A_NON_PRIMARY;"QGIS confirms correct RA13 section with two physically separate one-way carriageways; directed edges 237523 and 979577 are summed for comparison with bidirectional ANAS TGMA"
920026;RA13;B;22770;OK;5.31;156185537:0;156185538:0;831098;831099;BIDIRECTIONAL_SUM;CLOSED;;HIGH;SENSITIVITY;;N/A_NON_PRIMARY;"QGIS confirms ANAS point approximately between the two RA13 Galleria Trebiciano II one-way carriageways; directed edges 831098 and 831099 jointly represent the counted section and are summed for comparison with bidirectional ANAS TGMA"
920039;SS52BIS;B;8015;OK;1.10;904801580:1;;1509461|1509462;;BIDIRECTIONAL_SUM;CLOSED;;LOW;PRIMARY;SS52BIS_CARNIA_INTERNAL;DISTINCT;"QGIS confirms correct SS52bis Via Nazionale Arta segment represented as one physical bidirectional carriageway; two opposite directed edges 1509461 and 1509462 are associated with the same physical segment"
920038;SS54;B;2843;OK;4.36;779871751:0;;1462841|1462842;;BIDIRECTIONAL_SUM;CLOSED;;HIGH;SENSITIVITY;;N/A_NON_PRIMARY;"QGIS confirms correct SS54 segment represented as one physical bidirectional carriageway; two opposite directed edges 1462841 and 1462842 are associated with the same physical segment"
920042;A0;C;23127;OK;2.30;191946557:1;28521224:2;979768;79663;BIDIRECTIONAL_SUM;CLOSED;ANAS=A0 / OSM=A;HIGH;SENSITIVITY;;N/A_NON_PRIMARY;"QGIS confirms correct Autostrada Sistiana-Rabuiese (tronco II) corridor despite ANAS A0 versus OSM ref A; two one-way carriageways mapped to directed edges 979768 and 79663, summed for comparison with bidirectional ANAS TGMA"
920029;SS13;C;2752;OK;6.95;185800895:1;;955871|955872;;BIDIRECTIONAL_SUM;CLOSED;;HIGH;SENSITIVITY;;N/A_NON_PRIMARY;"QGIS confirms correct SS13 Via Friuli segment represented as one physical bidirectional carriageway; nearby A23 is a distinct corridor and does not create spatial ambiguity; two opposite directed edges 955871 and 955872 are associated with the same physical segment"
