SECTION_ID;ROAD;TGMA_LIGHT_2024;QUALITY_CLASS;ROLE;MEASUREMENT_OPERATOR;OSM_PHYSICAL_SEGMENT;RELEVANT_DIRECTED_EDGE_IDS;PRIMARY_SEGMENT_UID;OPPOSITE_SEGMENT_UID;PRIMARY_EDGE_IDS;OPPOSITE_EDGE_IDS;EXTERNAL_EXPOSURE;CORRIDOR_GROUP;INFORMATION_ROLE;QGIS_REVIEW_STATUS
920044;A0;15345;A;SENSITIVITY;BIDIRECTIONAL_SUM;148319235:8|832928883:0;803475|1481717;148319235:8;832928883:0;803475;1481717;HIGH;;N/A_NON_PRIMARY;CLOSED
920022;RA13;23143;A;SENSITIVITY;BIDIRECTIONAL_SUM;203141242:23|104915080:18;1013279|524227;203141242:23;104915080:18;1013279;524227;HIGH;;N/A_NON_PRIMARY;CLOSED
920028;SS13;6088;A;SENSITIVITY;BIDIRECTIONAL_SUM;23261016:11;11842|11843;23261016:11;;11842|11843;;HIGH;;N/A_NON_PRIMARY;CLOSED
920034;SS202;27512;A;PRIMARY;BIDIRECTIONAL_SUM;787078230:14|26283853:0;1464765|42022;787078230:14;26283853:0;1464765;42022;LOW;SS202_TRIESTE_URBAN;DISTINCT;CLOSED
920035;SS202;15618;A;SENSITIVITY;BIDIRECTIONAL_SUM;26259796:11|350457892:2;41526|1303401;26259796:11;350457892:2;41526;1303401;UNCERTAIN;;N/A_NON_PRIMARY;CLOSED
920037;SS54;1224;A;SENSITIVITY;BIDIRECTIONAL_SUM;110560535:44;547133|547134;110560535:44;;547133|547134;;HIGH;;N/A_NON_PRIMARY;CLOSED
920032;SS54;6964;A;PRIMARY;BIDIRECTIONAL_SUM;1324387447:1;1645018|1645019;1324387447:1;;1645018|1645019;;LOW;SS54_CIVIDALE_INTERNAL;DISTINCT;CLOSED
920024;RA13;21028;B;SENSITIVITY;BIDIRECTIONAL_SUM;42941151:4|191942226:1;237523|979577;42941151:4;191942226:1;237523;979577;HIGH;;N/A_NON_PRIMARY;CLOSED
920026;RA13;22770;B;SENSITIVITY;BIDIRECTIONAL_SUM;156185537:0|156185538:0;831098|831099;156185537:0;156185538:0;831098;831099;HIGH;;N/A_NON_PRIMARY;CLOSED
920039;SS52BIS;8015;B;PRIMARY;BIDIRECTIONAL_SUM;904801580:1;1509461|1509462;904801580:1;;1509461|1509462;;LOW;SS52BIS_CARNIA_INTERNAL;DISTINCT;CLOSED
920038;SS54;2843;B;SENSITIVITY;BIDIRECTIONAL_SUM;779871751:0;1462841|1462842;779871751:0;;1462841|1462842;;HIGH;;N/A_NON_PRIMARY;CLOSED
920042;A0;23127;C;SENSITIVITY;BIDIRECTIONAL_SUM;191946557:1|28521224:2;979768|79663;191946557:1;28521224:2;979768;79663;HIGH;;N/A_NON_PRIMARY;CLOSED
920029;SS13;2752;C;SENSITIVITY;BIDIRECTIONAL_SUM;185800895:1;955871|955872;185800895:1;;955871|955872;;HIGH;;N/A_NON_PRIMARY;CLOSED
920030;SS14;4646;C;SENSITIVITY;BIDIRECTIONAL_SUM;1119710666:3;1568406|1568407;1119710666:3;;1568406|1568407;;HIGH;;N/A_NON_PRIMARY;CLOSED
920031;SS52BIS;1040;C;SENSITIVITY;BIDIRECTIONAL_SUM;184607670:7;946205|946206;184607670:7;;946205|946206;;HIGH;;N/A_NON_PRIMARY;CLOSED
920040;SS54;14659;C;SENSITIVITY;BIDIRECTIONAL_SUM;165350444:6;875099|875100;165350444:6;;875099|875100;;LOW;;N/A_NON_PRIMARY;CLOSED
