crossing_candidate_id,lat,lon,utm_x,utm_y,raw_event_count,osm_way_count,osm_way_ids,osm_highway,osm_ref,osm_name,motor_vehicle_access_class,member_access_classes,restriction_evidence,road_hierarchy,corridor_continuity,materiality_screen,documentary_inventory_match,current_gateway_match,known_gateway_id,overlap_boundary_geometry,dedup_cluster_diameter_m,dedup_mixed_motorability,dedup_review_flag,notes
GEO_0001,46.26887413881664,12.320952981493182,755894.468967932,5129283.6664285865,1,1,136614954,path,,Troi de Moliesa,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path; name=Troi de Moliesa,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0002,46.26958290206509,12.32126721387331,755915.3786603212,5129363.428084181,1,1,481549315,path,,Troi de Sant'Antoni,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path; name=Troi de Sant'Antoni; surface=ground,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0003,46.26983069093596,12.32138754808113,755923.4958746945,5129391.347222421,1,1,310870424,path,,Troi dei Sambughi,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path; name=Troi dei Sambughi,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0004,46.26760051877449,12.321626691027765,755952.3131697983,5129144.338988915,1,1,25286566,primary,SR251,San Antonio,OPEN_ORDINARY,OPEN_ORDINARY,highway=primary; ref=SR251; name=San Antonio; surface=asphalt; maxheight=default,HIGH,TO_BE_RECONCILED,CORE_CANDIDATE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0005,46.26713299789901,12.32194690815649,755979.1652841191,5129093.430369196,1,1,1482200628,service,,,OPEN_LOCAL,OPEN_LOCAL,highway=service,VERY_LOW,TO_BE_RECONCILED,MINOR_LIKELY_EXCLUDABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0006,46.26687394697072,12.322123464357684,755993.9766958442,5129065.219381854,1,1,373623003,path,,Ferrata della Memoria,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path; name=Ferrata della Memoria; bicycle=no,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0007,46.2724555979548,12.322495178988067,755996.6037326418,5129686.564369424,1,1,1159440922,path,,,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0008,46.26270174381356,12.32202240655624,756005.6312244225,5128601.34469823,1,1,61052538,path,,,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0009,46.26563159267123,12.322319929973146,756014.9047837517,5128927.823909853,1,1,100974766,service,,,PRIVATE,PRIVATE,highway=service; access=private; tracktype=grade3,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,0.0,False,False,
GEO_0010,46.27414714216091,12.323406487167546,756058.9294759608,5129877.447670217,2,1,1158444212,path,,,NON_MOTOR_VEHICLE,NON_MOTOR_VEHICLE,highway=path,VERY_LOW,TO_BE_RECONCILED,RESTRICTED_NOT_MODELLABLE,TO_BE_RECONCILED,TO_BE_RECONCILED,,False,62.61,False,False,
