direction,gateway_id,geo_id,b1_rows,Pendolari_raw_sum,flow_daily_sum
EI,A1V01,GEO_0198,40,54.0,23.141700000000014
EI,A1V02,GEO_0263,47,130.0,55.711499999999994
EI,A1V03,GEO_0213,30,524.0,224.56020000000007
EI,A1V03,GEO_0215,37,160.0,68.56800000000004
EI,A1V03,GEO_0227,47,417.0,178.70535000000007
EI,A1V03,GEO_0228,120,1507.0,645.824849999999
EI,A1V03,GEO_0269,57,759.0,325.26944999999995
EI,A1V04,GEO_0287,52,417.0,178.70535000000007
EI,A1V04,GEO_0307,39,235.0,100.70925000000001
EI,A1V04,GEO_0315,7,133.0,56.997150000000005
EI,A1V04,GEO_0323,22,176.0,75.42480000000002
EI,A1V05,GEO_0385,4,64.0,27.4272
EI,A1V05,GEO_0391,29,496.0,212.56080000000003
EI,A1V05,GEO_0399,40,124.0,53.140199999999986
EI,A1V05,GEO_0402,54,186.0,79.71030000000003
EI,A1V05,GEO_0405,24,147.0,62.99684999999999
EI,A1V06,GEO_0500,8,93.0,39.85515
EI,VE01,GEO_0475,3,3.0,1.28565
EI,VE01,GEO_0484,696,1315.0,563.5432499999939
EI,VE02,GEO_0345,4,50.0,21.427500000000002
EI,VE02,GEO_0350,294,1130.0,484.2614999999982
EI,VE02,GEO_0357,21,108.0,46.2834
EI,VE02,GEO_0360,48,149.0,63.853950000000005
EI,VE03,GEO_0196,643,1699.0,728.106449999992
EI,VE03,GEO_0197,63,290.0,124.27950000000004
EI,VE03,GEO_0199,13,32.0,13.7136
EI,VE03,GEO_0201,85,937.0,401.55134999999945
EI,VE04,GEO_0098,78,642.0,275.12909999999977
EI,VE04,GEO_0154,60,811.0,347.55405
EI,VE04,GEO_0203,11,85.0,36.42674999999999
EI,VE05,GEO_0486,178,1383.0,592.6846499999988
EI,VE06,GEO_0004,41,202.0,86.56710000000004
IE,A1V01,GEO_0198,40,54.0,23.141700000000014
IE,A1V02,GEO_0263,47,130.0,55.711499999999994
IE,A1V03,GEO_0213,37,538.0,230.55990000000008
IE,A1V03,GEO_0215,34,147.0,62.99685000000002
IE,A1V03,GEO_0227,46,416.0,178.27680000000004
IE,A1V03,GEO_0228,131,1530.0,655.6814999999989
IE,A1V03,GEO_0269,57,765.0,327.8407499999999
IE,A1V04,GEO_0287,54,423.0,181.27665000000007
IE,A1V04,GEO_0307,36,223.0,95.56665000000001
IE,A1V04,GEO_0315,8,145.0,62.13975
IE,A1V04,GEO_0323,21,174.0,74.56770000000002
IE,A1V05,GEO_0385,4,64.0,27.4272
IE,A1V05,GEO_0391,12,308.0,131.9934
IE,A1V05,GEO_0399,44,127.0,54.42585
IE,A1V05,GEO_0402,127,407.0,174.4198500000001
IE,A1V05,GEO_0405,25,171.0,73.28204999999998
IE,A1V06,GEO_0500,9,95.0,40.712250000000004
IE,VE01,GEO_0468,624,1212.0,519.402599999995
IE,VE02,GEO_0345,3,38.0,16.2849
IE,VE02,GEO_0350,9,15.0,6.42825
IE,VE02,GEO_0353,55,159.0,68.13945000000002
IE,VE02,GEO_0354,319,1181.0,506.11754999999795
IE,VE02,GEO_0357,10,90.0,38.5695
IE,VE03,GEO_0195,20,92.0,39.4266
IE,VE03,GEO_0197,5,15.0,6.42825
IE,VE03,GEO_0199,565,1543.0,661.2526499999932
IE,VE03,GEO_0201,82,813.0,348.4111499999996
IE,VE04,GEO_0098,103,707.0,302.98484999999954
IE,VE04,GEO_0154,112,1070.0,458.5484999999999
IE,VE04,GEO_0203,34,212.0,90.85260000000001
IE,VE05,GEO_0486,180,1391.0,596.1130499999988
IE,VE06,GEO_0004,42,203.0,86.99565000000004
