direction,gateway_id,b1_rows,Pendolari_raw_sum,flow_daily_sum
EI,A1V01,40,54.0,23.141700000000014
EI,A1V02,47,130.0,55.711499999999994
EI,A1V03,291,3367.0,1442.9278499999996
EI,A1V04,120,961.0,411.83654999999953
EI,A1V05,151,1017.0,435.83535000000006
EI,A1V06,8,93.0,39.85515
EI,VE01,699,1318.0,564.8288999999938
EI,VE02,367,1437.0,615.8263499999963
EI,VE03,804,2958.0,1267.6509000000012
EI,VE04,149,1538.0,659.1098999999988
EI,VE05,178,1383.0,592.6846499999988
EI,VE06,41,202.0,86.56710000000004
IE,A1V01,40,54.0,23.141700000000014
IE,A1V02,47,130.0,55.711499999999994
IE,A1V03,305,3396.0,1455.3557999999996
IE,A1V04,119,965.0,413.55074999999965
IE,A1V05,212,1077.0,461.54835
IE,A1V06,9,95.0,40.712250000000004
IE,VE01,624,1212.0,519.402599999995
IE,VE02,396,1483.0,635.5396499999958
IE,VE03,672,2463.0,1055.5186499999954
IE,VE04,249,1989.0,852.3859499999976
IE,VE05,180,1391.0,596.1130499999988
IE,VE06,42,203.0,86.99565000000004
